2021-02-02T09:38:15.920+0300	DEBUG	client/main.go:48	ticker loop
2021-02-02T09:38:15.921+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/1.txt"}
2021-02-02T09:38:15.942+0300	DEBUG	client/main.go:78	loading file success	{"code": 200, "header": {"Content-Length":["27"],"Content-Type":["text/plain; charset=utf-8"],"Date":["Tue, 02 Feb 2021 06:38:15 GMT"]}, "body": "Successfully Uploaded File\n"}
2021-02-02T09:38:15.942+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/APCRemoteControl.log"}
2021-02-02T09:38:15.949+0300	DEBUG	client/main.go:78	loading file success	{"code": 200, "header": {"Content-Length":["27"],"Content-Type":["text/plain; charset=utf-8"],"Date":["Tue, 02 Feb 2021 06:38:15 GMT"]}, "body": "Successfully Uploaded File\n"}
2021-02-02T09:38:15.950+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/CrashDump_000001.zip"}
2021-02-02T09:38:15.958+0300	DEBUG	client/main.go:78	loading file success	{"code": 200, "header": {"Content-Length":["27"],"Content-Type":["text/plain; charset=utf-8"],"Date":["Tue, 02 Feb 2021 06:38:15 GMT"]}, "body": "Successfully Uploaded File\n"}
2021-02-02T09:38:15.958+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/DevListServLog.txt"}
2021-02-02T09:38:15.959+0300	DEBUG	client/main.go:78	loading file success	{"code": 200, "header": {"Content-Length":["27"],"Content-Type":["text/plain; charset=utf-8"],"Date":["Tue, 02 Feb 2021 06:38:15 GMT"]}, "body": "Successfully Uploaded File\n"}
2021-02-02T09:38:15.959+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/DevListServLogExt.txt"}
2021-02-02T09:38:15.960+0300	DEBUG	client/main.go:78	loading file success	{"code": 200, "header": {"Content-Length":["27"],"Content-Type":["text/plain; charset=utf-8"],"Date":["Tue, 02 Feb 2021 06:38:15 GMT"]}, "body": "Successfully Uploaded File\n"}
2021-02-02T09:38:15.960+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/EvntTimer.csv"}
2021-02-02T09:38:15.961+0300	DEBUG	client/main.go:78	loading file success	{"code": 200, "header": {"Content-Length":["27"],"Content-Type":["text/plain; charset=utf-8"],"Date":["Tue, 02 Feb 2021 06:38:15 GMT"]}, "body": "Successfully Uploaded File\n"}
2021-02-02T09:38:15.962+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_1.html"}
2021-02-02T09:38:15.963+0300	DEBUG	client/main.go:78	loading file success	{"code": 200, "header": {"Content-Length":["27"],"Content-Type":["text/plain; charset=utf-8"],"Date":["Tue, 02 Feb 2021 06:38:15 GMT"]}, "body": "Successfully Uploaded File\n"}
2021-02-02T09:38:15.963+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_10.html"}
2021-02-02T09:38:15.963+0300	DEBUG	client/main.go:78	loading file success	{"code": 200, "header": {"Content-Length":["27"],"Content-Type":["text/plain; charset=utf-8"],"Date":["Tue, 02 Feb 2021 06:38:15 GMT"]}, "body": "Successfully Uploaded File\n"}
2021-02-02T09:38:15.963+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_11.html"}
2021-02-02T09:38:15.966+0300	DEBUG	client/main.go:78	loading file success	{"code": 200, "header": {"Content-Length":["27"],"Content-Type":["text/plain; charset=utf-8"],"Date":["Tue, 02 Feb 2021 06:38:15 GMT"]}, "body": "Successfully Uploaded File\n"}
2021-02-02T09:38:15.966+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_12.html"}
