2021-03-14T18:26:23.892+0300	INFO	server/main.go:116	server started
2021-03-14T18:27:32.031+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "export/test4/test4.txt", "size": 32, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"export/test4/test4.txt\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test4-local-clinic-id"],"Content-Length":["288"],"Content-Type":["multipart/form-data; boundary=61daf386fe6f0e7e1cfcc3e8acac03d9b032dc2ccd218fdbe675f136b279"],"Device-Id":["test4-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-24T16:07:21.976+0300	INFO	server/main.go:116	server started
2021-04-24T16:07:51.153+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/small/small_file.txt", "size": 9, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/small/small_file.txt\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["282"],"Content-Type":["multipart/form-data; boundary=133de513022957cc35390fffbd074926a8a8c5c3c49b30ff099ef2bb40da"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-24T16:08:30.247+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/small/small_file.txt", "size": 9, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/small/small_file.txt\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["282"],"Content-Type":["multipart/form-data; boundary=ba33bc3c54dd3a27717e13fc21cb70122ad59837253b3682b2f8768edc8f"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-24T19:20:38.010+0300	INFO	server/main.go:116	server started
2021-04-25T17:53:00.272+0300	INFO	server/main.go:116	server started
2021-04-25T17:53:10.217+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/small/small_file.txt", "size": 28, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/small/small_file.txt\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["301"],"Content-Type":["multipart/form-data; boundary=762088bdb952da624d990aa03e6c4a8f223dac058b7155834db17cb9292f"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-25T17:55:11.035+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/small/small_file.txt", "size": 28, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/small/small_file.txt\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["301"],"Content-Type":["multipart/form-data; boundary=e56bba0f98773d89421f511371a123cdaf05539e4b1774e5a1c3436f9499"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-25T17:59:45.523+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/small/small_file.txt", "size": 28, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/small/small_file.txt\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["301"],"Content-Type":["multipart/form-data; boundary=5ba651e89cd287c35fae1b0a546df6e590251bd7341dc34769c3aa39d937"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
2021-04-25T18:01:51.998+0300	DEBUG	server/main.go:66	file successfully uploaded	{"fileName": "test-logs-examples/small/small_file.txt", "size": 28, "header": {"Content-Disposition":["form-data; name=\"myFile\"; filename=\"test-logs-examples/small/small_file.txt\""],"Content-Type":["application/octet-stream"]}, "reqHeaders": {"Accept-Encoding":["gzip"],"Clinic-Id":["test5-local-clinic-id"],"Content-Length":["301"],"Content-Type":["multipart/form-data; boundary=af055a68b3fb526c83e4b4b27698708942e5ca22430188ae196b7c70610b"],"Device-Id":["test5-local-device-id"],"User-Agent":["Go-http-client/1.1"]}}
